date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:32	1832/1832	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Sep%202021%2021:09:32%20GMT	https://redefurious.minecart.com.br/robots.txt		(from )
21:09:32	7066/7066	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:09:32%20GMT	https://redefurious.minecart.com.br/	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/index.html	(from )
21:09:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:33%20GMT	https://imgur.com/GI3gsHe.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/GI3gsHe.0.delayed	(from https://redefurious.minecart.com.br/)
21:09:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:33%20GMT	http://cdn.minecart.com.br/assets/templates/transcend/css/style.css?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/css/style.2e45f.delayed	(from https://redefurious.minecart.com.br/)
21:09:33	40747/40747	---M--	200	added ('OK')	image/png	etag:%223d32c61dbb1a3aaf7b2a3554dfbe0633%22	https://i.imgur.com/GI3gsHe.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/GI3gsHe.png	(from https://redefurious.minecart.com.br/)
21:09:33	21111/21111	---MCZ	200	added ('OK')	text/css	etag:W/%2268bd-5cc5d9567d36d-gzip%22	https://cdn.minecart.com.br/assets/templates/transcend/css/style.css?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/css/stylee45f.css	(from https://redefurious.minecart.com.br/)
21:09:34	5563/5563	---M--	200	added ('OK')	image/png	etag:%2215bb-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/minecraft-favicon-default.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/minecraft-favicon-default.png	(from https://redefurious.minecart.com.br/)
21:09:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:34%20GMT	http://cdn.minecart.com.br/assets/js/jquery.min.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/jquery.mine45f.js	(from https://redefurious.minecart.com.br/)
21:09:34	86708/86708	---M-Z	200	added ('OK')	application/javascript	etag:%22152b4-5cc75d644477a-gzip%22	https://cdn.minecart.com.br/assets/js/jquery.min.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/jquery.mine45f.js	(from https://redefurious.minecart.com.br/)
21:09:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:35%20GMT	http://cdn.minecart.com.br/assets/templates/transcend/js/webApp.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/js/webAppe45f.js	(from https://redefurious.minecart.com.br/)
21:09:36	7698/7698	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c0a-5cc5d9567e30d-gzip%22	https://cdn.minecart.com.br/assets/templates/transcend/js/webApp.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/js/webAppe45f.js	(from https://redefurious.minecart.com.br/)
